step,curriculum_stage,operand_digits,prompt,reward_mean,loss,grad_norm,parity_max,parity_p99,parity_mean,parity_tail_tokens,active_completion_tokens,peak_vram_gib,rollout_sha256
0,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
5158673 + 1821616 = || Compute the sum. Reply with ONLY the integer, nothing else.
1557807 + 3931157 =",0.5,0.0,0.0,0.015455245971679688,0.009784520603716373,0.00041794462595134974,0,64,4.370767116546631,9ab5ed2a62df1906969063673232a0215f2904e6c2e74d2bd95a650951bcae73
1,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
9909263 + 7368926 = || Compute the sum. Reply with ONLY the integer, nothing else.
2930775 + 9538604 =",0.5,0.0,0.0,5.834759213030338e-05,5.834759213030338e-05,9.689908438303974e-06,0,72,4.539766788482666,296ed4d42a608cad20eaffed56fd76ec5813b727b18bbce9c503ec7196d3e3b8
2,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
8417193 + 4899181 = || Compute the sum. Reply with ONLY the integer, nothing else.
5955073 + 8207723 =",1.0,0.0,0.0,0.008089706301689148,0.008089706301689148,0.00045474019134417176,0,72,4.539766788482666,6334b3c92a2f8d1548e2b8081592db6561e7ee7a7bf277a03f394a3f66d7d11e
3,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2103150 + 5008355 = || Compute the sum. Reply with ONLY the integer, nothing else.
4953734 + 9100147 =",1.0,0.0,0.0,0.0011597499251365662,0.0011597499251365662,7.013327558524907e-05,0,68,4.539801597595215,25ed9a991ef59f64a96fa41b10f067822416b83ece468f8b5b32c195f2e82ccf
4,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
3230362 + 6971779 = || Compute the sum. Reply with ONLY the integer, nothing else.
1960893 + 6169259 =",1.0,0.0,0.0,0.012967467308044434,0.012967467308044434,0.0007798180449754,0,68,4.539801597595215,3293229ad82dfd03dce7d8f9856ed0b36d9de3f4ef211dec6f111835e8818955
5,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
1982695 + 7824005 = || Compute the sum. Reply with ONLY the integer, nothing else.
7199267 + 5582058 =",1.0,0.0,0.0,0.037740230560302734,0.037740230560302734,0.002222576877102256,0,68,4.539801597595215,8582b7aa0043d0e820e2b2a097c587895a1caae13742ecce941b08116375714f
6,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
8030334 + 5826600 = || Compute the sum. Reply with ONLY the integer, nothing else.
6134474 + 8972761 =",0.5,0.0,0.0,0.009729325771331787,0.007007436826825142,0.00040344629087485373,0,72,4.539801597595215,8fd7a55f8b651e8ab0c6db84118077eb3d30d3c5e982382c8939e684a8df97ec
7,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
6218314 + 1531853 = || Compute the sum. Reply with ONLY the integer, nothing else.
3555492 + 6362502 =",0.375,7.450580596923828e-09,4.284275531768799,0.024289608001708984,0.024289608001708984,0.0012836988316848874,0,64,4.539801597595215,38fa86ced4b132077bf01432d78a40ae467fdf0a3dff25bae17e40682c6f4451
8,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
6717767 + 3741065 = || Compute the sum. Reply with ONLY the integer, nothing else.
2166011 + 9171916 =",0.5,0.0,9.8565673828125,0.08700942993164062,0.08700942993164062,0.004671256523579359,0,72,4.539801597595215,43aeac4b5bd26aa28cb2e1c5ce5e704406caaa70696b935a962a50dccd226c76
9,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2515776 + 2462776 = || Compute the sum. Reply with ONLY the integer, nothing else.
8632363 + 8931512 =",0.5,0.0,0.0,0.014503002166748047,0.014503002166748047,0.0009719453519210219,0,68,4.539801597595215,ebcde3a82c8b4f045891ffafd20c8e259cd736058bda580d213fad2b7cea8410
