step,curriculum_stage,operand_digits,prompt,reward_mean,loss,grad_norm,parity_max,parity_p99,parity_mean,parity_tail_tokens,active_completion_tokens,peak_vram_gib,rollout_sha256
0,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
6963806 + 1509940 = || Compute the sum. Reply with ONLY the integer, nothing else.
1200817 + 9972429 =",0.5,0.0,0.0,0.062064290046691895,0.06073213741183281,0.0031046669464558363,0,68,4.393660068511963,15fb7c8010c9c65e102f26fbbcdc28303b47b0b4ebc787c4b83f5e41ee7ed873
1,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
7358089 + 2952768 = || Compute the sum. Reply with ONLY the integer, nothing else.
3316227 + 8817131 =",0.5,0.0,0.0,0.06887048482894897,0.05982440710067749,0.0033445863518863916,0,72,4.540110111236572,c82d014a292d13397d201d663d79a010ff2797bacc371a85d220b21e19122ff8
2,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
7357182 + 2506051 = || Compute the sum. Reply with ONLY the integer, nothing else.
2972539 + 8609799 =",1.0,0.0,0.0,2.0265558760002023e-06,2.0265558760002023e-06,7.007124054325686e-07,0,68,4.540144920349121,9215f836a67179eb6cb5625e59dbaf8fee84400df2044de437f633d74178b108
3,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
5327782 + 6634604 = || Compute the sum. Reply with ONLY the integer, nothing else.
2588381 + 1374021 =",1.0,0.0,0.0,0.00034079793840646744,0.00034079793840646744,2.166537342418451e-05,0,68,4.540144920349121,9b2e18172d73a47155c78e0057de9c83d9842fe53079261c0de71f9bb5522605
4,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
4576895 + 6134545 = || Compute the sum. Reply with ONLY the integer, nothing else.
9523505 + 5691915 =",0.0,0.0,0.0,0.02889186143875122,0.021146677434444427,0.0019675365183502436,0,72,4.540144920349121,aab2739b09eeb43e36c65dbafd4cd9821a9423476f7eee2a8699b6d3faf2a0e8
5,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
9793787 + 5837207 = || Compute the sum. Reply with ONLY the integer, nothing else.
9402053 + 3056867 =",0.5,0.0,0.0,0.013180136680603027,0.013180136680603027,0.0006322123808786273,0,72,4.540144920349121,6f6e6aff8e50be26d899db630e1e4d6b6ef58ac56cdb5a0beb72e8b82647de88
6,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2549215 + 9900631 = || Compute the sum. Reply with ONLY the integer, nothing else.
3531278 + 3907145 =",0.875,2.9802322387695312e-08,4.910844326019287,0.06938731670379639,0.0426962785422802,0.002759696915745735,0,68,4.540144920349121,302dbcd6e387f674d346514d1a1b9d6130fb695feb894c3c1166e39c942b83e5
7,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
9601285 + 5510863 = || Compute the sum. Reply with ONLY the integer, nothing else.
2043676 + 1502903 =",1.0,0.0,0.0,5.520170088857412e-05,5.520170088857412e-05,8.047253686527256e-06,0,68,4.540144920349121,738548b3a4cf8428b6de171550d9f977edd4d55877fe149d2f14ae396d24726e
8,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
1190421 + 8032945 = || Compute the sum. Reply with ONLY the integer, nothing else.
5061223 + 8599997 =",0.5,0.0,0.0,0.00028469227254390717,0.00028469227254390717,2.0323219359852374e-05,0,68,4.540144920349121,5c8cbd0b0f2737879eeb2e2531b933dcd2ca2374707a829c639115f31cd42a39
9,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
7829669 + 7118495 = || Compute the sum. Reply with ONLY the integer, nothing else.
7118761 + 2223433 =",0.75,0.0,3.8647143840789795,0.054238319396972656,0.054238319396972656,0.002697583520784974,0,68,4.540144920349121,dd9ee5803c036a893c0c5fb30536ec53552fa0fd12f5e4cb6a29a9ae044f7f3c
