step,curriculum_stage,operand_digits,prompt,reward_mean,loss,reward_mode,exact_reward_mean,signal_groups,exact_signal_groups,grad_norm,parity_max,parity_p99,parity_mean,parity_tail_tokens,active_completion_tokens,peak_vram_gib,rollout_sha256
0,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2735992 + 9651394 = || Compute the sum. Reply with ONLY the integer, nothing else.
4270411 + 6513006 =",0.5,0.0,exact,0.5,0,0,0.0,0.0001483734231442213,0.0001483734231442213,8.893152880773414e-06,0,72,4.393625736236572,bbd55cc47f0156c3fa1e53352ad6332261bca3df761fc5cf6ad2eae45f5d2e40
1,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
7755153 + 1669439 = || Compute the sum. Reply with ONLY the integer, nothing else.
5062156 + 7705270 =",0.625,-2.9802322387695312e-08,exact,0.625,1,1,25.2103328704834,0.4125407934188843,0.1737992912530899,0.008548343554139137,1,68,4.540145397186279,9f4a767f0c52d330e13d754b55298d909ec8d0043f92e12cfae0b9c6b2f801ef
2,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
8180592 + 9505070 = || Compute the sum. Reply with ONLY the integer, nothing else.
4713526 + 6635340 =",1.0,0.0,exact,1.0,0,0,0.0,0.0008083181455731392,0.0008083181455731392,4.849306424148381e-05,0,72,4.540145397186279,d6a07953bf5070031daaf23b65e76ee367c23b179e3125f7722fd63296242a5d
3,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
5670678 + 6101903 = || Compute the sum. Reply with ONLY the integer, nothing else.
1622526 + 7088320 =",0.125,-2.9802322387695312e-08,exact,0.125,1,1,12.111523628234863,0.02624213695526123,0.01201518252491951,0.0009270961163565516,0,68,4.540145397186279,a3a569bc464653b503bac442aef38749e24a7ac8ebc0157777ec148ce6321970
4,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
5709253 + 5854820 = || Compute the sum. Reply with ONLY the integer, nothing else.
4788064 + 2159789 =",1.0,0.0,exact,1.0,0,0,0.0,2.2691558115184307e-05,2.2691558115184307e-05,2.0594234229065478e-06,0,68,4.540145397186279,66af41bca67517cf0826580ca091eef7459573fc5ab33ecb832751e7bc40316f
5,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2563030 + 8556335 = || Compute the sum. Reply with ONLY the integer, nothing else.
6121180 + 5726764 =",1.0,0.0,exact,1.0,0,0,0.0,9.423878509551287e-06,9.423878509551287e-06,2.3495531422668137e-06,0,72,4.540145397186279,8f972ad99bd6ec5f081d5cde4133e5e6a6acc7d9499729f7f2724ef8b75faa10
6,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
2486674 + 1311830 = || Compute the sum. Reply with ONLY the integer, nothing else.
6726435 + 1383146 =",1.0,0.0,exact,1.0,0,0,0.0,6.282981485128403e-05,6.282981485128403e-05,6.246694283618126e-06,0,64,4.540145397186279,c8fe297a2afebc7864ded6fc7480d88100db328cf12169850be91f7794c008c8
7,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
8957892 + 7353698 = || Compute the sum. Reply with ONLY the integer, nothing else.
1624815 + 5105885 =",0.625,-7.450580596923828e-09,exact,0.625,1,1,4.74049711227417,0.03083658218383789,0.023249570280313492,0.0011177646229043603,0,68,4.540145397186279,8a013992a44617b4b79b3b9c580b8f9c6c15a6f03afcfbb893979443a577976c
8,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
9555089 + 7635850 = || Compute the sum. Reply with ONLY the integer, nothing else.
5615754 + 1954035 =",0.125,-7.450580596923828e-09,exact,0.125,1,1,4.4076104164123535,0.013268709182739258,0.013268709182739258,0.0008311865385621786,0,68,4.540145397186279,0504465c555bd4e13e4e9648f4957631b6c35cf16a9d9dd8f0e8c10a7aee3881
9,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
7914083 + 3806611 = || Compute the sum. Reply with ONLY the integer, nothing else.
2398646 + 6105976 =",0.375,2.9802322387695312e-08,exact,0.375,1,1,3.1352486610412598,0.012342512607574463,0.004083304665982723,0.00018404876755084842,0,68,4.540145397186279,92ee2ffa09ed5b9a67a8faee1325c290f3a2d54ed8f849955f2c3c47131f6783
10,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
5341793 + 3732355 = || Compute the sum. Reply with ONLY the integer, nothing else.
5683232 + 3482665 =",1.0,0.0,exact,1.0,0,0,0.0,0.0008632615208625793,0.0008632615208625793,5.4539435950573534e-05,0,64,4.540145397186279,c2c8050c281e957571162f6610c9a2eadf323357c9e2c0430ea16f3716c4579f
11,0,7,"Compute the sum. Reply with ONLY the integer, nothing else.
6406458 + 4342315 = || Compute the sum. Reply with ONLY the integer, nothing else.
2711462 + 3256716 =",1.0,0.0,exact,1.0,0,0,0.0,0.0008237245492637157,0.0008237245492637157,5.1849809096893296e-05,0,68,4.540145397186279,2325dd7e50fd20c73faedc36ee718e6bfeb82d9a789ba0b1ed42c7e8c8a13738
12,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
44141527 + 74886836 = || Compute the sum. Reply with ONLY the integer, nothing else.
10715925 + 77397299 =",0.5,0.0,exact,0.5,0,0,0.0,0.12164628505706787,0.057169824838638306,0.0030803116969764233,0,76,4.601423740386963,8e6cf8448a30aa42dda3797b5ecf3fa3252e892fa3b1958eb79b50554c5625a5
13,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
60752988 + 49841086 = || Compute the sum. Reply with ONLY the integer, nothing else.
30056350 + 23410887 =",1.0,0.0,exact,1.0,0,0,0.0,0.00025134533643722534,0.00025134533643722534,1.665822128416039e-05,0,76,4.601423740386963,b4ce2d96bd5f696a00a5d6a06b0d5851d188362edd2df4456fb215fa42ffbb29
14,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
27211069 + 46578670 = || Compute the sum. Reply with ONLY the integer, nothing else.
16934684 + 21836933 =",1.0,0.0,exact,1.0,0,0,0.0,0.00014899764209985733,0.00014899764209985733,1.6009204045985825e-05,0,72,4.601423740386963,a61b1ea570bd7e543c680b73d106b8803625406f03400cab0f0412482d231181
15,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
82539973 + 26351484 = || Compute the sum. Reply with ONLY the integer, nothing else.
14550654 + 21623442 =",0.375,2.9802322387695312e-08,exact,0.375,1,1,3.0574240684509277,0.015613555908203125,0.011303580366075039,0.0010826416546478868,0,94,4.955601692199707,22402e34f19be74abf8a654d82f8ee888254d34075a1c9baabf0e3922be6dbb8
16,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
24694357 + 59232762 = || Compute the sum. Reply with ONLY the integer, nothing else.
22227335 + 78708821 =",0.25,-2.9802322387695312e-08,exact,0.25,2,2,7.183710098266602,0.18846678733825684,0.10890907049179077,0.006541510112583637,0,76,4.955601692199707,38a35f8a22810bc98cbfe446d701882345797aa779076f2592ada6fec837bcd7
17,1,8,"Compute the sum. Reply with ONLY the integer, nothing else.
76458924 + 57605179 = || Compute the sum. Reply with ONLY the integer, nothing else.
99476085 + 76972883 =",0.125,-7.450580596923828e-09,exact,0.125,1,1,24.056869506835938,0.11750411987304688,0.11750411987304688,0.006065764464437962,0,80,4.955601692199707,54ceedbec599ae18d9d9c53cfcc64fd0c78b98b56dbad430a07aadac0398fd27
